file_path,modality,vocal_channel,emotion,intensity,statement,repetition,actor,audio_length
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,3.3032916666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,3.3366666666666664
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,3.2699166666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,3.1698333333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,3.5368541666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,3.6035833333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,3.4701458333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,3.703708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,3,1,2,2,2,1,1,4.204208333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,3,1,2,2,2,2,1,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,3,1,3,1,1,1,1,3.4701458333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,3,1,3,1,1,2,1,3.470125
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,3,1,3,1,2,1,1,3.5368541666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,3,1,3,1,2,2,1,3.703708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,3,1,3,2,1,1,1,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,3,1,3,2,1,2,1,3.6369583333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,3,1,3,2,2,1,1,3.93725
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,3,1,3,2,2,2,1,3.9372708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,3,1,4,1,1,1,1,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,3,1,4,1,1,2,1,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,3,1,4,1,2,1,1,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,3,1,4,1,2,2,1,3.370041666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,3,1,4,2,1,1,1,3.8037916666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,3,1,4,2,1,2,1,3.703708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,3,1,4,2,2,1,1,3.7370833333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,3,1,4,2,2,2,1,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,3,1,5,1,1,1,1,3.8705416666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,3,1,5,1,1,2,1,3.9372708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,3,1,5,1,2,1,1,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,3,1,5,1,2,2,1,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,3,1,5,2,1,1,1,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,3,1,5,2,1,2,1,4.371041666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,3,1,5,2,2,1,1,4.137458333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,3,1,5,2,2,2,1,4.437770833333333
